"","location","Median.grants","Avg.Grants","Avg.Denials","lon","lat"
"1","Adelanto, CA",12.85,15.15,84.85,-117.409215,34.5827699
"2","Arlington, VA",74.5,65.5428571428571,34.4571428571429,-77.0909809,38.8816208
"3","Atlanta, GA",11.8,12.78,87.22,-84.3879824,33.7489954
"4","Aurora, CO",13.05,13.05,86.95,-104.8319195,39.7294319
"5","Baltimore, MD",56.9,60.1166666666667,39.8833333333333,-76.6121893,39.2903848
"6","Bloomington, MN",26.4,19.1333333333333,80.8666666666667,-93.2982799,44.840798
"7","Boston, MA",62.55,62.5125,37.4875,-71.0588801,42.3600825
"8","Buffalo, NY",17.1,17.8666666666667,82.1333333333333,-78.8783689,42.8864468
"9","Charlotte, NC",18.4,20.7666666666667,79.2333333333333,-80.8431267,35.2270869
"10","Chicago, IL",55.5,45.7285714285714,54.2714285714286,-87.6297982,41.8781136
"11","Cleveland, OH",18,21.8666666666667,78.1333333333333,-81.6943605,41.49932
"12","Dallas, TX",21.15,19.95,80.05,-96.7969879,32.7766642
"13","Denver, CO",44.35,47.375,52.625,-104.990251,39.7392358
"14","Detroit, MI",22.05,22.85,77.15,-83.0457538,42.331427
"15","El Paso, TX",3,3.02,96.98,-106.4850217,31.7618778
"16","Elizabeth, NJ",41.5,41.5,58.5,-74.2107006,40.6639916
"17","Eloy, AZ",7.05,6.575,93.425,-111.554844,32.7558962
"18","Florence, AZ",9,9,91,-111.3873431,33.0314508
"19","Harlingen, TX",46.7,46.7,53.3,-97.6961026,26.1906306
"20","Hartford, CT",41.35,41.35,58.65,-72.6850932,41.7637111
"21","Honolulu, Hi",73.6,73.6,26.4,-157.8583333,21.3069444
"22","Honolulu, HI",63.5,63.5,36.5,-157.8583333,21.3069444
"23","Houston, TX",12.6,12.6,87.4,-95.3698028,29.7604267
"24","Imperial, CA",13.5,13.5,86.5,-115.5694391,32.8475528
"25","Kansas City, MO",33.6,33.6,66.4,-94.5785667,39.0997265
"26","Las Vegas, NV",14,14,86,-115.1398296,36.1699412
"27","Los Angeles, CA",37.8,36.8363636363636,63.1636363636364,-118.2436849,34.0522342
"28","Los Fresnos, TX",24.8,24.1,75.9,-97.4763733,26.0717438
"29","Lumpkin, GA",3.95,3.95,96.05,-84.7990901,32.0509895
"30","Memphis, TN",46.4,36.4666666666667,63.5333333333333,-90.0489801,35.1495343
"31","Miami, FL",27,25.1722222222222,74.8277777777778,-80.1917902,25.7616798
"32","New Orleans, LA",36.1,36.1,63.9,-90.0715323,29.9510658
"33","New York, NY",85.15,78.91875,21.08125,-74.0059413,40.7127837
"34","Newark, NJ",69.2,55.3666666666667,44.6333333333333,-74.1723667,40.735657
"35","Oakdale, LA",6.6,4.5,95.5,-92.658557,30.8167525
"36","Omaha, NE",20.8,20.7333333333333,79.2666666666667,-95.9979883,41.2523634
"37","Orlando, FL",39.6,37.3666666666667,62.6333333333333,-81.3792365,28.5383355
"38","Pearsall, TX",19.5,18.3666666666667,81.6333333333333,-99.095033,28.8921939
"39","Philadelphia, PA",66.15,64.85,35.15,-75.1652215,39.9525839
"40","Phoenix, AZ",61.05,61.05,38.95,-112.0740373,33.4483771
"41","Portland, OR",46.85,46.85,53.15,-122.6764816,45.5230622
"42","San Antonio, TX",40.65,38.9833333333333,61.0166666666667,-98.4936282,29.4241219
"43","San Diego, CA",48.1,41.4125,58.5875,-117.1610838,32.715738
"44","San Francisco, CA",65.7,59.9411764705882,40.0588235294118,-122.4194155,37.7749295
"45","Seattle, WA",39.9,39.6,60.4,-122.3320708,47.6062095
"46","Tacoma, WA",28.5,28,72,-122.4442906,47.2528768
"47","Tucson, AZ",41.5,41.5,58.5,-110.926479,32.2217429
"48","West Valley City, UT",24.3,24.3,75.7,-112.0010501,40.6916132
"49","York, PA",18.1,17.3666666666667,82.6333333333333,-76.727745,39.9625984
